2023-11-06 09:28:00, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:28:10, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:28:10, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:10, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:28:10, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:28:10, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:10, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:28:10, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:28:10, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:11, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:28:21, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:28:21, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:21, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:28:21, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:28:21, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:21, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:28:21, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:28:21, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:21, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:28:31, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:28:31, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:31, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:28:31, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:28:31, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:31, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:28:32, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:28:32, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:32, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:28:42, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:28:42, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:42, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:28:42, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:28:42, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:42, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:28:42, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:28:42, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:42, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:28:52, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:28:52, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:52, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:28:53, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:28:53, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:53, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:28:53, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:28:53, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:28:53, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:29:03, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:29:03, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:03, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:29:03, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:29:03, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:03, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:29:03, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:29:03, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:03, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:29:14, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:29:14, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:14, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:29:14, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:29:14, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:14, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:29:14, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:29:14, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:14, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:29:24, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:29:24, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:29:24, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:24, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:24, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:29:24, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:29:24, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:29:24, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:24, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:29:35, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:29:35, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:35, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:29:35, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:35, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:29:35, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:29:35, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:29:35, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:35, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:29:45, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:29:45, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:45, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:29:45, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:45, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:29:45, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:29:45, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:29:45, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:45, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:29:56, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:29:56, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:56, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:29:56, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:56, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:29:56, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:29:56, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:29:56, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:29:56, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:30:06, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:30:06, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:06, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:30:06, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:30:06, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:06, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:30:06, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:30:06, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:06, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:30:17, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:30:17, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:17, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:30:17, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:30:17, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:17, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:30:17, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:30:17, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:17, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:30:27, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:30:27, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:27, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:30:27, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:30:27, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:27, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:30:27, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:30:27, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:27, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:30:38, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:30:38, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:38, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:30:38, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:30:38, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:38, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:30:38, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:30:38, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:38, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:30:48, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:30:48, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:48, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:30:48, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:30:48, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:48, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:30:48, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:30:48, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:48, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:30:59, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:30:59, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:59, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:30:59, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:59, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:30:59, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:30:59, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:30:59, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:30:59, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:31:09, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:31:09, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:31:09, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:31:09, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:31:09, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:31:09, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:31:09, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:31:09, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:31:09, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:31:20, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:31:20, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:31:20, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:31:20, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:31:20, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:31:20, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:31:20, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:31:20, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:31:20, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:31:30, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:31:30, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:31:30, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:31:30, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:31:30, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:31:30, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:31:30, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:31:30, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:31:30, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:31:40, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:31:40, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:31:40, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:31:41, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:31:41, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:31:41, variables.js, Bastian Monitor, Error, 1
2023-11-06 09:31:41, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:31:41, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:31:41, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:31:51, plc-worker.js, AEC2 Monitor, AEC2, Error: SOCKET error
2023-11-06 09:31:51, variables.js, AEC2 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:31:51, variables.js, AEC2 Monitor, Error, 1
2023-11-06 09:31:51, plc-worker.js, AEC1 Monitor, AEC1, Error: SOCKET error
2023-11-06 09:31:51, variables.js, AEC1 Monitor, Error, ReferenceError: tagvalues is not defined
2023-11-06 09:31:51, variables.js, AEC1 Monitor, Error, 1
2023-11-06 09:31:51, plc-worker.js, Bastian Monitor, Bastian, Error: SOCKET error
2023-11-06 09:31:51, variables.js, Bastian Monitor, Error, ReferenceError: tagvalues is not defined
